COMPENSATION_ID,PERIOD_START,PERIOD_END,LOBBYIST_ID,LOBBYIST_FIRST_NAME,LOBBYIST_MIDDLE_INITIAL,LOBBYIST_LAST_NAME,COMPENSATION_TO_OTHERS_EXPENSE,OFFICE_EXPENSE,PERSONAL_SUSTENANCE_EXPENSE,PUBLIC_EDUCATION_EXPENSE,OTHER_EXPENSES,TOTAL_EXPENSES,CLIENT_ID,CLIENT_NAME,CREATED_DATE
2422138355,10/01/2020,12/31/2020,4082,THOMAS,E,LIVINGSTON,15000.00,0.00,0.00,0.00,0.00,15000.00,129262074,CSX CORPORATION,01/17/2021
1089899976,10/01/2020,12/31/2020,11701,MICHAEL,,SYNOWIECKI,0.00,0.00,0.00,0.00,0.00,75.00,139295286,"PAN-OCEANIC ENGINEERING CO., INC.",01/19/2021
651945850,01/01/2020,03/31/2020,6561,RICHARD,,TOTH,0.00,0.00,0.00,0.00,0.00,350.00,1965511253,CKK INVESTMENT INC.,01/19/2021
1089899976,10/01/2020,12/31/2020,3782,MARA,S,GEORGES,0.00,0.00,0.00,0.00,0.00,75.00,311065641,VENTURE ONE,01/19/2021
1089899976,10/01/2020,12/31/2020,14641,AMY,,DEGNAN,0.00,0.00,0.00,0.00,0.00,75.00,506103063,SALONLB,01/19/2021
3871216144,07/01/2020,09/30/2020,14641,AMY,,DEGNAN,0.00,0.00,0.00,0.00,0.00,85.56,1423927746,THE PEOPLES GAS LIGHT AND COKE COMPANY,01/19/2021
1924499314,01/01/2020,03/31/2020,6561,RICHARD,,TOTH,0.00,0.00,0.00,0.00,0.00,195.25,238821020,ZHOU B LLC,01/19/2021
1089899976,10/01/2020,12/31/2020,6561,RICHARD,,TOTH,0.00,0.00,0.00,0.00,0.00,75.00,1515354803,D BROTHERS INVESTMENTS LLC,01/19/2021
4107158739,10/01/2020,12/31/2020,24875,FRANK,,SPEEK,7500.00,0.00,0.00,0.00,0.00,7500.00,436138109,SKINNY LABS INC. DBA SPIN,01/19/2021
200959754,01/01/2020,03/31/2020,3782,MARA,S,GEORGES,0.00,0.00,0.00,0.00,0.00,75.00,531670715,"COCO VENTURES, LLC",01/19/2021
2272820877,04/01/2020,06/30/2020,14641,AMY,,DEGNAN,0.00,0.00,0.00,0.00,0.00,14.50,4100731081,ACADEMY FOR GLOBAL CITIZENSHIP,01/19/2021
200959754,01/01/2020,03/31/2020,3782,MARA,S,GEORGES,0.00,0.00,0.00,0.00,0.00,75.00,3297124168,PIFFINGTON LLC,01/19/2021
1089899976,10/01/2020,12/31/2020,6561,RICHARD,,TOTH,0.00,0.00,0.00,0.00,0.00,75.00,3025261792,"LEXINGTON HOMES, LLC",01/19/2021
4055577108,07/01/2020,09/30/2020,14641,AMY,,DEGNAN,0.00,0.00,0.00,0.00,0.00,150.00,3032629703,EASTLAKE MANAGEMENT GROUP,01/19/2021
182794260,01/01/2020,03/31/2020,6561,RICHARD,,TOTH,0.00,0.00,0.00,0.00,0.00,150.00,2756239332,MART ANTHONY'S,01/19/2021
3478102998,07/01/2020,09/30/2020,6561,RICHARD,,TOTH,0.00,0.00,0.00,0.00,0.00,11.50,1541496536,"MICHAEL TADIN, JR.",01/19/2021
554837055,04/01/2020,06/30/2020,6561,RICHARD,,TOTH,0.00,0.00,0.00,0.00,0.00,150.00,2821932813,"LINCOLN PROVISION, INC.",01/19/2021
812115416,04/01/2020,06/30/2020,6561,RICHARD,,TOTH,0.00,0.00,0.00,0.00,0.00,213.54,3675058662,"GARFIELD'S BEVERAGE C1, LLC",01/19/2021
1507986665,07/01/2020,09/30/2020,14641,AMY,,DEGNAN,0.00,0.00,0.00,0.00,0.00,223.70,4100731081,ACADEMY FOR GLOBAL CITIZENSHIP,01/19/2021
1089899976,10/01/2020,12/31/2020,14641,AMY,,DEGNAN,0.00,0.00,0.00,0.00,0.00,75.00,1744521974,BRIDGEPORT SHELL,01/19/2021
1089899976,10/01/2020,12/31/2020,6561,RICHARD,,TOTH,0.00,0.00,0.00,0.00,0.00,75.00,924671475,ISTAR FINANCIAL,01/19/2021
1089899976,10/01/2020,12/31/2020,14641,AMY,,DEGNAN,0.00,0.00,0.00,0.00,0.00,75.00,2698848797,ECO BRITE CAR WASH,01/19/2021
1089899976,10/01/2020,12/31/2020,14641,AMY,,DEGNAN,0.00,0.00,0.00,0.00,0.00,75.00,1212739717,CHUNG LEUNG AU,01/19/2021
2006871721,01/01/2020,03/31/2020,3782,MARA,S,GEORGES,0.00,0.00,0.00,0.00,0.00,175.00,154529912,DAVIDSON KEMPNER,01/19/2021
182794260,01/01/2020,03/31/2020,14641,AMY,,DEGNAN,0.00,0.00,0.00,0.00,0.00,150.00,4100731081,ACADEMY FOR GLOBAL CITIZENSHIP,01/19/2021
2981877244,01/01/2020,03/31/2020,14641,AMY,,DEGNAN,0.00,0.00,0.00,0.00,0.00,109.00,2102758611,"SARATOGA DEWITT, LLC",01/19/2021
182794260,01/01/2020,03/31/2020,3782,MARA,S,GEORGES,0.00,0.00,0.00,0.00,0.00,150.00,2756239332,MART ANTHONY'S,01/19/2021
1156292386,07/01/2020,09/30/2020,6561,RICHARD,,TOTH,0.00,0.00,0.00,0.00,0.00,56.22,1965511253,CKK INVESTMENT INC.,01/19/2021
1651259268,04/01/2020,06/30/2020,6561,RICHARD,,TOTH,0.00,0.00,0.00,0.00,0.00,75.00,1414890232,DAN MARK,01/19/2021
1870230828,07/01/2020,09/30/2020,3782,MARA,S,GEORGES,0.00,0.00,0.00,0.00,0.00,75.00,2584944755,NATIONAL INSURANCE CRIME BUREAU,01/19/2021
245064478,07/01/2020,09/30/2020,24728,KENNETH,,SAWYER,0.00,7500.00,0.00,0.00,7500.00,7500.00,3240048196,TOBACCO FREE KIDS,11/08/2020
1814086838,07/01/2020,09/30/2020,24728,KENNETH,,SAWYER,0.00,13000.00,0.00,0.00,13000.00,13000.00,211676529,CRESCO LABS LLC,11/08/2020
3083019960,01/01/2020,03/31/2020,23903,CARLOS,,PINEIRO,0.00,0.00,30.00,0.00,0.00,30.00,1741688519,"RBC CAPITAL MARKETS, LLC",11/18/2020
3677683067,01/01/2021,03/31/2021,13621,ARTHUR,,WILHELMI,0.00,0.00,0.00,0.00,0.00,250.00,1188783448,ILLINOIS HOSPITAL ASSOCIATION,04/09/2021
1175026171,01/01/2022,03/31/2022,25127,JANE,,CHARNEY,0.00,0.00,150.00,0.00,0.00,150.00,3643770872,JEWISH UNITED FUND/JEWISH FEDERATION OF METROPOLITAN CHICAGO,03/30/2022
3942914772,01/01/2021,03/31/2021,16801,YUHONG,A,ZHANG,0.00,0.00,146.00,0.00,0.00,146.00,2992711528,AMERICAN AIRLINES,04/10/2021
3677683067,01/01/2021,03/31/2021,25138,JORDAN,,POWELL,0.00,0.00,0.00,0.00,0.00,250.00,1188783448,ILLINOIS HOSPITAL ASSOCIATION,04/13/2021
2423866056,01/01/2021,03/31/2021,23928,JAMES,,SHEAHAN,5600.00,1313.50,0.00,0.00,1313.50,6967.50,3621238161,YATES PROTECT,04/12/2021
2557366017,01/01/2021,03/31/2021,10821,JAMES,R,WATSON,0.00,0.00,0.00,0.00,0.00,750.00,4040927126,API-ILLINOIS,04/13/2021
3677683067,01/01/2021,03/31/2021,24927,CHRISTOPHER,,JESSUP,0.00,0.00,0.00,0.00,0.00,250.00,1188783448,ILLINOIS HOSPITAL ASSOCIATION,04/13/2021
2564738927,01/01/2021,03/31/2021,5127,PAT,,DOERR,50.00,50.00,125.00,50.00,50.00,400.00,841403895,HOSPITALITY BUSINESS ASSOC OF CHICAGO,07/28/2021
2220797317,01/01/2021,03/31/2021,24145,TOM,,GRAY,5600.00,657.00,0.00,0.00,657.00,6311.00,3621238161,YATES PROTECT,04/15/2021
2742059024,01/01/2021,03/31/2021,22901,GHIAN,,FOREMAN,0.00,0.00,500.00,500.00,0.00,3000.00,1091448180,MIDWAY TECHNOLOGY CENTRE OWNER LLC,04/15/2021
2203988131,04/01/2021,06/30/2021,5127,PAT,,DOERR,100.00,200.00,180.00,150.00,200.00,770.00,841403895,HOSPITALITY BUSINESS ASSOC OF CHICAGO,07/28/2021
1396068148,01/01/2022,03/31/2022,10821,JAMES,R,WATSON,0.00,0.00,200.00,0.00,0.00,950.00,4040927126,API-ILLINOIS,03/30/2022
4188080996,01/01/2022,03/31/2022,6164,GABRIELLE,,BRUSSEL,0.00,211.09,245.37,0.00,211.09,456.46,3481189951,"JCDECAUX CHICAGO, LLC",04/01/2022
716795908,01/01/2022,03/31/2022,3851,TIMOTHY,A,TAYLOR,0.00,0.00,0.00,50.00,0.00,50.00,3445752701,ELECTRICAL CONTRACTORS' ASSOCIATION OF CITY OF CHICAGO (ECA),04/05/2022
1943452550,01/01/2021,03/31/2021,4348,WILLIAM,J,BANKS,0.00,0.00,0.00,300.00,0.00,300.00,1418210032,"CHICAGO JOURNEYMEN PLUMBERS LOCAL 130, UA",04/16/2021
4155287029,01/01/2022,03/31/2022,10921,WILLIAM,,O'DONAGHUE,0.00,0.00,0.00,0.00,0.00,75.00,1731322918,FEDERATED ALLIANCE OF ILLINOIS INDEPENDENT RETAILERS,11/21/2022
2459646885,01/01/2022,03/31/2022,15501,DAVID,M.,GROSS,0.00,0.00,0.00,0.00,0.00,250.00,1188783448,ILLINOIS HOSPITAL ASSOCIATION,04/06/2022
2459646885,01/01/2022,03/31/2022,25138,JORDAN,,POWELL,0.00,0.00,0.00,0.00,0.00,250.00,1188783448,ILLINOIS HOSPITAL ASSOCIATION,04/06/2022
2459646885,01/01/2022,03/31/2022,24927,CHRISTOPHER,,JESSUP,0.00,0.00,0.00,0.00,0.00,250.00,1188783448,ILLINOIS HOSPITAL ASSOCIATION,04/06/2022
2459646885,01/01/2022,03/31/2022,13621,ARTHUR,,WILHELMI,0.00,0.00,0.00,0.00,0.00,250.00,1188783448,ILLINOIS HOSPITAL ASSOCIATION,04/06/2022
4155287029,01/01/2022,03/31/2022,10921,WILLIAM,,O'DONAGHUE,0.00,0.00,0.00,0.00,0.00,75.00,1294510240,"ICBG, INC.",11/21/2022
1943452550,01/01/2021,03/31/2021,11241,JAMES,,GRIFFIN,0.00,0.00,0.00,300.00,0.00,300.00,1418210032,"CHICAGO JOURNEYMEN PLUMBERS LOCAL 130, UA",04/16/2021
4155287029,01/01/2022,03/31/2022,10921,WILLIAM,,O'DONAGHUE,0.00,0.00,0.00,0.00,0.00,75.00,2272488168,SUPERIOR WINE AND SPIRITS,11/21/2022
4004516562,04/01/2022,06/30/2022,10921,WILLIAM,,O'DONAGHUE,0.00,0.00,0.00,0.00,0.00,75.00,3253340855,"SECRET MENU, INC.",11/21/2022
2068712383,07/01/2022,09/30/2022,10921,WILLIAM,,O'DONAGHUE,0.00,0.00,0.00,0.00,0.00,75.00,1353107998,NEIGHBORHOOD TAP ROOMS,11/21/2022
2068712383,07/01/2022,09/30/2022,10921,WILLIAM,,O'DONAGHUE,0.00,0.00,0.00,0.00,0.00,75.00,2139685140,"FOODCAST, INC.",11/21/2022
4004516562,04/01/2022,06/30/2022,10921,WILLIAM,,O'DONAGHUE,0.00,0.00,0.00,0.00,0.00,75.00,197257945,DENNIS FOGARTY,11/21/2022
3704598010,10/01/2022,12/31/2022,10821,JAMES,R,WATSON,0.00,0.00,250.00,0.00,0.00,500.00,4040927126,API-ILLINOIS,12/22/2022
3299041429,10/01/2022,12/31/2022,6164,GABRIELLE,,BRUSSEL,0.00,0.00,490.20,0.00,0.00,490.20,3481189951,"JCDECAUX CHICAGO, LLC",01/03/2023
749607782,10/01/2022,12/31/2022,3851,TIMOTHY,A,TAYLOR,0.00,0.00,0.00,50.00,0.00,50.00,3445752701,ELECTRICAL CONTRACTORS' ASSOCIATION OF CITY OF CHICAGO (ECA),01/03/2023
1761848452,10/01/2022,12/31/2022,6164,GABRIELLE,,BRUSSEL,0.00,0.00,249.80,0.00,0.00,249.80,2349450331,"INTERSTATE JCDECAUX, LLC",01/03/2023
3109497057,10/01/2022,12/31/2022,22205,TIFFANY,,BLAKE,0.00,0.00,374.74,0.00,0.00,374.74,413645007,CONDUENT INCORPORATED,01/05/2023
1267420368,01/01/2023,03/31/2023,6164,GABRIELLE,,BRUSSEL,0.00,0.00,299.34,0.00,0.00,299.34,3481189951,"JCDECAUX CHICAGO, LLC",04/01/2023
4155287029,01/01/2022,03/31/2022,6561,RICHARD,,TOTH,0.00,0.00,0.00,0.00,0.00,75.00,1587179816,COLUMBIA COLLEGE CHICAGO,01/06/2023
115378636,01/01/2021,03/31/2021,16002,RICHARD,,VELAZQUEZ,0.00,0.00,0.00,0.00,0.00,75.00,1475389468,"WEST FIFTY FIFTH STREET TAVERN, INC",09/01/2021
115378636,01/01/2021,03/31/2021,16002,RICHARD,,VELAZQUEZ,0.00,0.00,0.00,0.00,0.00,75.00,2108246511,SUNNY MEI,09/01/2021
3503693666,07/01/2022,09/30/2022,6561,RICHARD,,TOTH,0.00,0.00,0.00,0.00,0.00,24.20,2383921828,CHODY REAL ESTATE,01/06/2023
115378636,01/01/2021,03/31/2021,16002,RICHARD,,VELAZQUEZ,0.00,0.00,0.00,0.00,0.00,75.00,1144735878,ROSE LIQUORS,09/01/2021
2360973153,10/01/2020,12/31/2020,4055,ANN,T,MORONEY,0.00,0.00,0.00,0.00,0.00,2925.80,1044516389,CHICAGO PUBLIC SCHOOLS,01/20/2021
1818802561,10/01/2020,12/31/2020,4003,SCOTT,E,SAEF,0.00,0.00,0.00,0.00,0.00,36.77,2211865845,COMMUTER RAIL DIVISION OF THE RTA (METRA),01/20/2021
2702917042,10/01/2020,12/31/2020,3996,DONOVAN,W,PEPPER,15000.00,0.00,0.00,0.00,0.00,15250.00,4244390342,WALGREEN CO.,01/20/2021
3535792169,10/01/2020,12/31/2020,22901,GHIAN,,FOREMAN,0.00,0.00,0.00,0.00,0.00,2500.00,1091448180,MIDWAY TECHNOLOGY CENTRE OWNER LLC,01/26/2021
743748688,10/01/2020,12/31/2020,24904,AMBER,,SMOCK,0.00,380.28,0.00,0.00,380.28,380.28,2599186997,ACCESS LIVING OF METROPOLITAN CHICAGO,01/26/2021
1847770338,10/01/2020,12/31/2020,23981,ALEXANDRA,,SIMS,6000.00,0.00,0.00,0.00,0.00,6000.00,2014063902,VERIZON WIRELESS,01/26/2021
504907260,01/01/2021,03/31/2021,3851,TIMOTHY,A,TAYLOR,0.00,0.00,0.00,50.00,0.00,50.00,3445752701,ELECTRICAL CONTRACTORS' ASSOCIATION OF CITY OF CHICAGO (ECA),03/29/2021
3486430569,01/01/2021,03/31/2021,9082,JOSEPH,E,PILEWSKI,0.00,204.50,0.00,0.00,204.50,204.50,1791802591,"KJM-RPM WENTWORTH INVESTORS, LLC",04/01/2021
4002567246,01/01/2021,03/31/2021,9082,JOSEPH,E,PILEWSKI,0.00,302.25,0.00,0.00,302.25,302.25,2806544094,LAKESHORE BEVERAGE,04/01/2021
674638645,01/01/2023,03/31/2023,3851,TIMOTHY,A,TAYLOR,0.00,0.00,0.00,50.00,0.00,50.00,3445752701,ELECTRICAL CONTRACTORS' ASSOCIATION OF CITY OF CHICAGO (ECA),04/03/2023
1731132841,04/01/2022,06/30/2022,24927,CHRISTOPHER,,JESSUP,0.00,0.00,0.00,0.00,0.00,250.00,1188783448,ILLINOIS HOSPITAL ASSOCIATION,06/22/2022
567517690,01/01/2021,03/31/2021,24221,KELLY,,EICKENHORST,0.00,0.00,84.85,0.00,0.00,84.85,2992711528,AMERICAN AIRLINES,04/19/2021
2315753333,04/01/2022,06/30/2022,3851,TIMOTHY,A,TAYLOR,0.00,0.00,0.00,50.00,0.00,50.00,3445752701,ELECTRICAL CONTRACTORS' ASSOCIATION OF CITY OF CHICAGO (ECA),06/30/2022
3359878177,04/01/2022,06/30/2022,6164,GABRIELLE,,BRUSSEL,0.00,240.38,432.62,0.00,240.38,673.00,3481189951,"JCDECAUX CHICAGO, LLC",06/30/2022
1207760649,01/01/2022,03/31/2022,6561,RICHARD,,TOTH,0.00,0.00,0.00,0.00,0.00,151.08,444570884,GRAND BOULEVARD TERRACES LLC,01/06/2023
2511314173,04/01/2022,06/30/2022,4333,CLINT,V,BROWN,0.00,40.00,0.00,0.00,40.00,40.00,1863887790,LOCAL 881 UNITED FOOD AND COMMERCIAL WORKERS,07/05/2022
2511314173,04/01/2022,06/30/2022,3836,JOHN,A,DOERRER,0.00,40.00,0.00,0.00,40.00,40.00,3036653127,BALLY'S CORPORATION,07/05/2022
3082437643,10/01/2023,12/31/2023,5964,JEFFREY,A,GLASS,12000.00,0.00,0.00,0.00,0.00,12000.00,1016318800,HOME RUN INN,12/21/2023
1705746813,10/01/2023,12/31/2023,5964,JEFFREY,A,GLASS,10500.00,0.00,0.00,0.00,0.00,10500.00,1091868815,ITC - INSPIRING TECHNOLOGIES CORP.,12/21/2023
989283383,07/01/2022,09/30/2022,6561,RICHARD,,TOTH,0.00,0.00,0.00,0.00,0.00,300.00,1696637270,TP FULTON LLC,01/06/2023
1703636260,04/01/2022,06/30/2022,10821,JAMES,R,WATSON,0.00,0.00,0.00,0.00,0.00,750.00,4040927126,API-ILLINOIS,07/06/2022
1469774096,10/01/2023,12/31/2023,6164,GABRIELLE,,BRUSSEL,0.00,214.55,426.04,0.00,214.55,640.59,3481189951,"JCDECAUX CHICAGO, LLC",12/21/2023
4251743941,10/01/2022,12/31/2022,16002,RICHARD,,VELAZQUEZ,0.00,0.00,0.00,0.00,0.00,75.00,3244981507,THE JP COMPANY LLC,01/06/2023
3413417921,10/01/2023,12/31/2023,5964,JEFFREY,A,GLASS,2000.00,0.00,0.00,0.00,0.00,2000.00,153309621,UIPATH,12/21/2023
1231266835,07/01/2023,09/30/2023,3851,TIMOTHY,A,TAYLOR,0.00,0.00,0.00,50.00,0.00,50.00,3445752701,ELECTRICAL CONTRACTORS' ASSOCIATION OF CITY OF CHICAGO (ECA),09/29/2023
4155287029,01/01/2022,03/31/2022,6561,RICHARD,,TOTH,0.00,0.00,0.00,0.00,0.00,75.00,1541496536,"MICHAEL TADIN, JR.",01/06/2023
3946378610,04/01/2022,06/30/2022,6561,RICHARD,,TOTH,0.00,0.00,0.00,0.00,0.00,150.00,1639755421,IDER MALDONADO,01/06/2023
1275215876,07/01/2022,09/30/2022,6561,RICHARD,,TOTH,0.00,0.00,0.00,0.00,0.00,33.60,2821932813,"LINCOLN PROVISION, INC.",01/06/2023
3540552913,07/01/2023,09/30/2023,6164,GABRIELLE,,BRUSSEL,0.00,0.00,578.70,0.00,0.00,578.70,3481189951,"JCDECAUX CHICAGO, LLC",09/29/2023
1285266565,10/01/2023,12/31/2023,10821,JAMES,R,WATSON,0.00,0.00,0.00,0.00,0.00,250.00,4040927126,API-ILLINOIS,01/03/2024
4155287029,01/01/2022,03/31/2022,6561,RICHARD,,TOTH,0.00,0.00,0.00,0.00,0.00,75.00,2487361341,JOHNNY ZHENG,01/06/2023
2552625705,10/01/2023,12/31/2023,3996,DONOVAN,W,PEPPER,15000.00,0.00,200.00,0.00,0.00,15400.00,1137261277,WALGREEN CO.,01/04/2024
1636672371,10/01/2023,12/31/2023,9082,JOSEPH,E,PILEWSKI,0.00,0.00,33.52,0.00,0.00,33.52,3592723611,MANUFACTURING RENAISSANCE,01/04/2024
3467642731,10/01/2023,12/31/2023,4070,CHARLES,R,BERNARDINI,0.00,0.00,0.00,0.00,0.00,130.00,90607975,"AERO CHICAGO II, LLC",01/10/2024
3298964076,04/01/2022,06/30/2022,25127,JANE,,CHARNEY,0.00,0.00,150.00,0.00,0.00,150.00,3643770872,JEWISH UNITED FUND/JEWISH FEDERATION OF METROPOLITAN CHICAGO,07/11/2022
2728002985,04/01/2022,06/30/2022,23741,CARMEN,,ROSSI,3000.00,0.00,2000.00,0.00,0.00,9500.00,390198696,2017 MENDALL BAKER LLC,07/01/2022
352421125,01/01/2021,03/31/2021,3996,DONOVAN,W,PEPPER,0.00,0.00,100.00,0.00,0.00,200.00,4244390342,WALGREEN CO.,04/19/2021
3098971216,04/01/2022,06/30/2022,16801,YUHONG,A,ZHANG,0.00,0.00,260.16,0.00,0.00,260.16,2992711528,AMERICAN AIRLINES,07/11/2022
2060453244,04/01/2022,06/30/2022,22203,JIM,,LAZARSKI,0.00,0.00,137.83,0.00,0.00,137.83,413645007,CONDUENT INCORPORATED,07/13/2022
2499732705,04/01/2022,06/30/2022,6561,RICHARD,,TOTH,0.00,0.00,0.00,0.00,0.00,50.98,2821932813,"LINCOLN PROVISION, INC.",01/06/2023
2236398043,10/01/2023,12/31/2023,28341,BETH,,BERENDSEN,0.00,0.00,39.93,0.00,0.00,39.93,3155685626,CHICAGO WOMEN IN TRADES,01/11/2024
4155287029,01/01/2022,03/31/2022,6561,RICHARD,,TOTH,0.00,0.00,0.00,0.00,0.00,75.00,4119599940,"MPI CONTRACTING, INC.",01/06/2023
115378636,01/01/2021,03/31/2021,10921,WILLIAM,,O'DONAGHUE,0.00,0.00,0.00,0.00,0.00,75.00,2654113746,DOM'S MARKET AND KITCHEN,09/29/2021
2868823421,07/01/2021,09/30/2021,11701,MICHAEL,,SYNOWIECKI,0.00,0.00,0.00,0.00,0.00,711.35,3650928887,"IHC CONSTRUCTION COMPANIES, LLC",11/24/2021
115378636,01/01/2021,03/31/2021,10921,WILLIAM,,O'DONAGHUE,0.00,0.00,0.00,0.00,0.00,75.00,587405574,"ROUNDY'S SUPERMARKET, INC.",09/29/2021
1344944459,01/01/2021,03/31/2021,6082,ELIZABETH,,KREGOR,0.00,262.50,0.00,0.00,262.50,262.50,3938899747,INSTITUTE FOR JUSTICE,04/19/2021
115378636,01/01/2021,03/31/2021,11701,MICHAEL,,SYNOWIECKI,0.00,0.00,0.00,0.00,0.00,75.00,3233065838,"MPI CONTRACTING, INC",11/24/2021
115378636,01/01/2021,03/31/2021,10921,WILLIAM,,O'DONAGHUE,0.00,0.00,0.00,0.00,0.00,75.00,1294510240,"ICBG, INC.",09/29/2021
2936561751,01/01/2021,03/31/2021,4348,WILLIAM,J,BANKS,0.00,0.00,0.00,83.00,0.00,83.00,2481937660,KISHA INC.,04/19/2021
115378636,01/01/2021,03/31/2021,10921,WILLIAM,,O'DONAGHUE,0.00,0.00,0.00,0.00,0.00,75.00,1599829992,MARIO TRICOCI HAIR SALONS AND DAY SPAS LLC,09/29/2021
115378636,01/01/2021,03/31/2021,10921,WILLIAM,,O'DONAGHUE,0.00,0.00,0.00,0.00,0.00,75.00,1682108721,AG BELLS 2 LLC,09/29/2021
115378636,01/01/2021,03/31/2021,10921,WILLIAM,,O'DONAGHUE,0.00,0.00,0.00,0.00,0.00,75.00,493342447,TANGLED ROOTS BEVERAGE COMPANY,09/29/2021
1054589907,07/01/2021,09/30/2021,11701,MICHAEL,,SYNOWIECKI,0.00,0.00,0.00,0.00,0.00,75.00,3068752759,UNION GROUP OF ILLINOIS,11/24/2021
76418198,07/01/2021,09/30/2021,3851,TIMOTHY,A,TAYLOR,0.00,0.00,0.00,50.00,0.00,50.00,3445752701,ELECTRICAL CONTRACTORS' ASSOCIATION OF CITY OF CHICAGO (ECA),09/30/2021
115378636,01/01/2021,03/31/2021,11701,MICHAEL,,SYNOWIECKI,0.00,0.00,0.00,0.00,0.00,75.00,3270232475,CPMH CONSTRUCTION,11/24/2021
1031581723,01/01/2022,03/31/2022,4333,CLINT,V,BROWN,0.00,51.00,0.00,0.00,51.00,51.00,1863887790,LOCAL 881 UNITED FOOD AND COMMERCIAL WORKERS,04/11/2022
115378636,01/01/2021,03/31/2021,11701,MICHAEL,,SYNOWIECKI,0.00,0.00,0.00,0.00,0.00,75.00,128615183,NPL CONSTRUCTION CO.,11/24/2021
1054589907,07/01/2021,09/30/2021,16002,RICHARD,,VELAZQUEZ,0.00,0.00,0.00,0.00,0.00,75.00,2207009200,UNITED CENTER JOINT VENTURES,10/07/2021
115378636,01/01/2021,03/31/2021,11701,MICHAEL,,SYNOWIECKI,0.00,0.00,0.00,0.00,0.00,75.00,913307278,"UTILITY TRANSPORT SERVICES, INC.",11/24/2021
3406640513,04/01/2021,06/30/2021,24221,KELLY,,EICKENHORST,0.00,0.00,238.56,0.00,0.00,238.56,2992711528,AMERICAN AIRLINES,07/20/2021
2209575497,04/01/2021,06/30/2021,4189,SCOTT,A,REMILLARD,0.00,0.00,500.00,0.00,0.00,500.00,1742738620,SAAB,07/22/2021
