COMPENSATION_ID,PERIOD_START,PERIOD_END,LOBBYIST_ID,LOBBYIST_FIRST_NAME,LOBBYIST_MIDDLE_INITIAL,LOBBYIST_LAST_NAME,COMPENSATION_AMOUNT,CLIENT_ID,CLIENT_NAME,CREATED_DATE
1483619116,04/01/2021,06/30/2021,4010,RICHARD,,KLAWITER,2000.00,3673027719,"STERLING BAY, LLC AND ITS AFFILIATES",11/08/2021
4146079618,01/01/2021,03/31/2021,4010,RICHARD,,KLAWITER,1500.00,1641152195,DEPAUL COLLEGE PREP,11/08/2021
1653253458,07/01/2021,09/30/2021,4010,RICHARD,,KLAWITER,1000.00,3249117456,CEDAR STREET CAPITAL PARTNERS LLC,11/08/2021
4177681756,01/01/2020,03/31/2020,4273,JACK,L,PARRINO,122.00,783224423,ROSEMONT EXPOSITION SERVICES,12/03/2020
3976243266,07/01/2020,09/30/2020,4273,JACK,L,PARRINO,183.00,783224423,ROSEMONT EXPOSITION SERVICES,12/03/2020
518952891,01/01/2020,03/31/2020,4273,JACK,L,PARRINO,2740.50,2675185322,BJB PARTNERS,12/03/2020
2469395871,07/01/2020,09/30/2020,4316,BERNARD,I,CITRON,4389.00,3371960376,"BASILIOS CAPITAL I, LLC",12/03/2020
1246057368,10/01/2020,12/31/2020,16161,TERRY,D,CORNELL,7500.00,4044094489,CONCOURSE/BOINGO,12/05/2020
133247369,01/01/2020,03/31/2020,4160,EDWARD,J,KUS,1575.00,3827973984,DAC DEVELOPMENT CO.,12/08/2020
291767782,01/01/2021,03/31/2021,24223,ALLISON,,CLEMENTS,255.28,2289941869,ILLINOIS HOUSING COUNCIL,04/05/2021
4041089023,01/01/2020,03/31/2020,3847,GRAHAM,C,GRADY,3000.00,3844163383,AQUINNAH INVESTMENT TRUST,12/08/2020
1822882019,07/01/2021,09/30/2021,4010,RICHARD,,KLAWITER,2500.00,2191182081,"LANDMARK DEVELOPMENT SERVICE COMPANY, LLC",11/08/2021
3472865617,10/01/2019,12/31/2019,24628,LEDY,,VANKAVAGE,1000.00,2231550723,BEST FRIENDS ANIMAL SOCIETY,03/30/2020
1031820649,07/01/2020,09/30/2020,3847,GRAHAM,C,GRADY,1000.00,3916123301,"BRESLOW, JEFFREY",12/08/2020
2147597218,07/01/2020,09/30/2020,4126,MICHAEL,A,ALVAREZ,4000.00,894763383,CHICAGO BOUTIQUE FITNESS ALLIANCE,12/08/2020
2972445854,01/01/2020,03/31/2020,3847,GRAHAM,C,GRADY,500.00,2622572414,EAST WATER PLACE HOMEOWNER'S ASSOCIATION,12/08/2020
557879243,01/01/2020,03/31/2020,3847,GRAHAM,C,GRADY,1500.00,2059078730,GRACE AND PEACE FELLOWSHIP,12/08/2020
3416747069,04/01/2020,06/30/2020,4126,MICHAEL,A,ALVAREZ,10000.00,894763383,CHICAGO BOUTIQUE FITNESS ALLIANCE,12/08/2020
2540751013,01/01/2021,03/31/2021,20481,DEBBIE,,LAKAMP,500.00,3184574837,ILLINOIS STATE VETERINARY MEDICAL ASSOCIATION,04/05/2021
3097975492,04/01/2020,06/30/2020,3847,GRAHAM,C,GRADY,1000.00,2059078730,GRACE AND PEACE FELLOWSHIP,12/08/2020
2247419528,07/01/2020,09/30/2020,3847,GRAHAM,C,GRADY,2500.00,310896985,CHICAGO HOPE ACADEMY,12/08/2020
881597267,07/01/2020,09/30/2020,3847,GRAHAM,C,GRADY,7500.00,1533955305,"EQUINIX, LLC",12/08/2020
2247419528,07/01/2020,09/30/2020,3847,GRAHAM,C,GRADY,2500.00,3965962314,"63RD MARYLAND, LLC",12/08/2020
2271463738,01/01/2020,03/31/2020,3847,GRAHAM,C,GRADY,3500.00,1723220508,"DISTINCTIVE SCHOOLS, INC.",12/08/2020
666529935,01/01/2020,03/31/2020,3847,GRAHAM,C,GRADY,2500.00,3785838811,SMASH INTERACTIVE LLC,12/08/2020
3462163126,07/01/2020,09/30/2020,3847,GRAHAM,C,GRADY,1500.00,890520213,"SEAWAY CHATHAM, LLC",12/08/2020
3275154715,04/01/2020,06/30/2020,3847,GRAHAM,C,GRADY,8000.00,1475880923,NORTH LAWNDALE EMPLOYMENT NETWORK,12/08/2020
1375288418,07/01/2020,09/30/2020,3847,GRAHAM,C,GRADY,3500.00,1955590433,"PDI MEDICAL III, LLC",12/08/2020
378238141,07/01/2021,09/30/2021,4010,RICHARD,,KLAWITER,5000.00,430581004,BLUE STAR PROPERTIES,11/08/2021
3466400189,04/01/2020,06/30/2020,3847,GRAHAM,C,GRADY,1500.00,3844163383,AQUINNAH INVESTMENT TRUST,12/08/2020
1150806936,01/01/2021,03/31/2021,6323,JOHN,S,KAMIS,15000.00,1057321672,CHICAGO LOW-INCOME HOUSING TRUST FUND,04/05/2021
1185799843,07/01/2020,09/30/2020,3847,GRAHAM,C,GRADY,4500.00,1822567502,BY THE HAND CLUB FOR KIDS,12/08/2020
378238141,07/01/2021,09/30/2021,4010,RICHARD,,KLAWITER,5000.00,3097334624,MOCERI ROSZAK,11/08/2021
1579788264,04/01/2021,06/30/2021,4010,RICHARD,,KLAWITER,1500.00,1641152195,DEPAUL COLLEGE PREP,11/08/2021
672731099,01/01/2021,03/31/2021,9041,PETER,,FROEHLICH,2500.00,1142196526,"UNITED AIRLINES, INC.",04/05/2021
127555714,01/01/2020,03/31/2020,3847,GRAHAM,C,GRADY,250.00,3966449363,HUDSON MICHIGAN AVENUE LLC,12/08/2020
4237428886,04/01/2020,06/30/2020,3847,GRAHAM,C,GRADY,2500.00,3785838811,SMASH INTERACTIVE LLC,12/08/2020
1407598199,01/01/2020,03/31/2020,3847,GRAHAM,C,GRADY,2000.00,310896985,CHICAGO HOPE ACADEMY,12/08/2020
378238141,07/01/2021,09/30/2021,4010,RICHARD,,KLAWITER,5000.00,3112603922,VIENNA SAUSAGE MANUFACTURING CO.,11/08/2021
2310376368,01/01/2020,03/31/2020,4160,EDWARD,J,KUS,900.00,3795299976,THE ONNI GROUP,12/08/2020
378238141,07/01/2021,09/30/2021,4010,RICHARD,,KLAWITER,5000.00,1065982169,RELATED MIDWEST,11/08/2021
3867464959,01/01/2020,03/31/2020,3847,GRAHAM,C,GRADY,5000.00,3867521979,CHICAGO LIONS CHARITABLE ASSOCIATION,12/08/2020
666529935,01/01/2020,03/31/2020,3847,GRAHAM,C,GRADY,2500.00,1822567502,BY THE HAND CLUB FOR KIDS,12/08/2020
441549297,04/01/2021,06/30/2021,4010,RICHARD,,KLAWITER,2500.00,142699114,DRAPER AND KRAMER,11/08/2021
330289866,04/01/2021,06/30/2021,4010,RICHARD,,KLAWITER,5000.00,1696101662,"ALLOY PROPERTY COMPANY, LLC",11/08/2021
3993392864,07/01/2020,09/30/2020,3847,GRAHAM,C,GRADY,2000.00,3867521979,CHICAGO LIONS CHARITABLE ASSOCIATION,12/08/2020
3993392864,07/01/2020,09/30/2020,3847,GRAHAM,C,GRADY,2000.00,1192418536,SWEDISH HOSPITAL,12/08/2020
1003091482,01/01/2021,03/31/2021,6323,JOHN,S,KAMIS,30000.00,1463507892,"SPOTHERO, INC.",04/05/2021
4287835748,01/01/2020,03/31/2020,3847,GRAHAM,C,GRADY,1000.00,2530097967,NATIONAL SHOPPING PLAZAS INC,12/08/2020
668799425,04/01/2021,06/30/2021,4278,HOMERO,,TRISTAN,450.00,109291080,CG3 LLC,07/27/2021
1868851790,04/01/2021,06/30/2021,4010,RICHARD,,KLAWITER,1000.00,4077221674,SANGAMONROE LLC,11/08/2021
3466400189,04/01/2020,06/30/2020,3847,GRAHAM,C,GRADY,1500.00,2889267022,TOWER 10 GLADES LLC,12/08/2020
2569117199,01/01/2021,03/31/2021,6323,JOHN,S,KAMIS,5000.00,1215727911,"BIRD RIDES, INC.",04/05/2021
4287835748,01/01/2020,03/31/2020,3847,GRAHAM,C,GRADY,1000.00,879320182,"PACE PROPERTY GROUP, LLC",12/08/2020
2996495707,04/01/2020,06/30/2020,3847,GRAHAM,C,GRADY,2000.00,310896985,CHICAGO HOPE ACADEMY,12/08/2020
3097501209,01/01/2021,03/31/2021,25189,JULIAN,,FEDERLE,156.00,1142196526,"UNITED AIRLINES, INC.",04/05/2021
4237428886,04/01/2020,06/30/2020,3847,GRAHAM,C,GRADY,2500.00,3867521979,CHICAGO LIONS CHARITABLE ASSOCIATION,12/08/2020
2569117199,01/01/2021,03/31/2021,4010,RICHARD,,KLAWITER,5000.00,430581004,BLUE STAR PROPERTIES,11/08/2021
557879243,01/01/2020,03/31/2020,3847,GRAHAM,C,GRADY,1500.00,2889267022,TOWER 10 GLADES LLC,12/08/2020
488548203,04/01/2020,06/30/2020,3847,GRAHAM,C,GRADY,5000.00,1822567502,BY THE HAND CLUB FOR KIDS,12/08/2020
277974705,04/01/2020,06/30/2020,3847,GRAHAM,C,GRADY,500.00,453116790,"MAIN THIRD BOWL, LLC",12/08/2020
1185799843,07/01/2020,09/30/2020,3847,GRAHAM,C,GRADY,4500.00,3785838811,SMASH INTERACTIVE LLC,12/08/2020
4041089023,01/01/2020,03/31/2020,3847,GRAHAM,C,GRADY,3000.00,1475880923,NORTH LAWNDALE EMPLOYMENT NETWORK,12/08/2020
330289866,04/01/2021,06/30/2021,4010,RICHARD,,KLAWITER,5000.00,3097334624,MOCERI ROSZAK,11/08/2021
2569117199,01/01/2021,03/31/2021,4010,RICHARD,,KLAWITER,5000.00,176248196,TRAMMELL CROW COMPANY,11/08/2021
1483619116,04/01/2021,06/30/2021,4010,RICHARD,,KLAWITER,2000.00,3399829339,THOR EQUITIES,11/08/2021
2569117199,01/01/2021,03/31/2021,4010,RICHARD,,KLAWITER,5000.00,1943780836,NORTHPOINT DEVELOPMENT,11/08/2021
4146079618,01/01/2021,03/31/2021,4010,RICHARD,,KLAWITER,1500.00,3146441767,TISHMAN SPEYER PROPERTIES,11/08/2021
1435712189,07/01/2021,09/30/2021,4010,RICHARD,,KLAWITER,2000.00,3399829339,THOR EQUITIES,11/08/2021
4146079618,01/01/2021,03/31/2021,4010,RICHARD,,KLAWITER,1500.00,508109354,LFI REAL ESTATE,11/08/2021
2569117199,01/01/2021,03/31/2021,4010,RICHARD,,KLAWITER,5000.00,3451065673,WASTE MANAGEMENT INC.,11/08/2021
330289866,04/01/2021,06/30/2021,4010,RICHARD,,KLAWITER,5000.00,3503387740,NEWCASTLE LIMITED,11/08/2021
1822882019,07/01/2021,09/30/2021,4010,RICHARD,,KLAWITER,2500.00,2167854321,MARK GOODMAN AND ASSOCIATES,11/08/2021
2569117199,01/01/2021,03/31/2021,4010,RICHARD,,KLAWITER,5000.00,3097334624,MOCERI ROSZAK,11/08/2021
4089696022,01/01/2021,03/31/2021,16041,DENNIS,,PEDRELLI,2104.00,2065246853,"CHICAGO PARKING METERS, LLC",04/06/2021
3796795786,01/01/2021,03/31/2021,24764,WILLIAM,,KATT,1561.00,3422115480,SAINT ANTHONY HOSPITAL,04/06/2021
441549297,04/01/2021,06/30/2021,4010,RICHARD,,KLAWITER,2500.00,3181714706,"LANDMARK CHICAGO INTERESTS, LLC",11/08/2021
3210214488,01/01/2021,03/31/2021,4162,MARY,K,MINAGHAN,7500.00,3617168447,ILLINOIS PETROLEUM COUNCIL,04/06/2021
1707319739,01/01/2021,03/31/2021,3836,JOHN,A,DOERRER,9000.00,4161550459,ILLINOIS PETROLEUM COUNCIL,04/06/2021
3494655645,01/01/2021,03/31/2021,3836,JOHN,A,DOERRER,4500.00,2273991703,SHORELINE SIGHTSEEING,04/06/2021
378238141,07/01/2021,09/30/2021,4010,RICHARD,,KLAWITER,5000.00,3060330233,SERITAGE GROWTH PROPERTIES,11/08/2021
2773907861,10/01/2019,12/31/2019,24582,GINA,M,CARUSO,4500.00,3326386366,OAK STREET COUNCIL,04/02/2020
2488073513,10/01/2019,12/31/2019,20603,MELIA,,CARTER,250.00,47848937,VERIZON,01/04/2020
213563196,01/01/2021,03/31/2021,4162,MARY,K,MINAGHAN,1000.00,2916866916,"A & R JANITORIAL SERVICE, INC.",04/06/2021
1003356535,01/01/2021,03/31/2021,3836,JOHN,A,DOERRER,6000.00,3510649125,DISTILLED SPIRITS COUNCIL OF UNITED STATES,04/06/2021
1017219115,10/01/2021,12/31/2021,15661,LISSA,E.,DRUSS,6000.00,1430780308,"SHOTSPOTTER, INC.",02/14/2022
1483619116,04/01/2021,06/30/2021,4010,RICHARD,,KLAWITER,2000.00,1556749614,"CLAYCO, INC.",11/08/2021
986784407,01/01/2021,03/31/2021,4162,MARY,K,MINAGHAN,3000.00,2584047160,WOMEN CONSTRUCTION OWNERS,04/06/2021
1003356535,01/01/2021,03/31/2021,3836,JOHN,A,DOERRER,6000.00,3772281483,CANNABIS BUSINESS ALLIANCE OF ILLINOIS,04/06/2021
2569117199,01/01/2021,03/31/2021,4010,RICHARD,,KLAWITER,5000.00,1696101662,"ALLOY PROPERTY COMPANY, LLC",11/08/2021
330289866,04/01/2021,06/30/2021,4010,RICHARD,,KLAWITER,5000.00,1065982169,RELATED MIDWEST,11/08/2021
817976096,01/01/2021,03/31/2021,4162,MARY,K,MINAGHAN,2250.00,1918399924,ILLINOIS RESTAURANT ASSOCIATION,04/06/2021
3210214488,01/01/2021,03/31/2021,4162,MARY,K,MINAGHAN,7500.00,1221788023,ASSOCIATION OF SUBCONTRACTORS,04/06/2021
1003356535,01/01/2021,03/31/2021,3836,JOHN,A,DOERRER,6000.00,2474572655,CHICAGO RETAIL MERCHANTS ASSOC.,04/06/2021
1357663245,01/01/2021,03/31/2021,4162,MARY,K,MINAGHAN,11250.00,2267163612,BUILDING OWNERS & MANAGERS ASSOC. OF CHICAGO (BOMA),04/06/2021
3796795786,01/01/2021,03/31/2021,3960,MICHAEL,L,SHAKMAN,1561.00,3422115480,SAINT ANTHONY HOSPITAL,04/06/2021
1822882019,07/01/2021,09/30/2021,4010,RICHARD,,KLAWITER,2500.00,2764432288,NEXT REALTY,11/08/2021
2569117199,01/01/2021,03/31/2021,4010,RICHARD,,KLAWITER,5000.00,3503387740,NEWCASTLE LIMITED,11/08/2021
4146079618,01/01/2021,03/31/2021,9601,ROGER,H,BICKEL,1500.00,3825811174,"THE GROVE, INC.",04/06/2021
1150806936,01/01/2021,03/31/2021,3836,JOHN,A,DOERRER,15000.00,1892131552,GRUBHUB HOLDINGS INC.,04/06/2021
3210214488,01/01/2021,03/31/2021,4162,MARY,K,MINAGHAN,7500.00,1336948200,JOEL KENNEDY CONSTRUCTION CORP.,04/06/2021
1756475070,01/01/2021,03/31/2021,4162,MARY,K,MINAGHAN,22500.00,2356161035,"PHARMACANN, LLC",04/06/2021
1150806936,01/01/2021,03/31/2021,23883,ASHLIE,,KUEHN,15000.00,3753025608,"JUUL LABS, INC.",04/07/2021
2847593900,01/01/2021,03/31/2021,3862,SANDRA,M,WIDERBORG,6290.00,1142196526,"UNITED AIRLINES, INC.",04/07/2021
2638766376,01/01/2021,03/31/2021,25050,GREGORY,,WHEELER,4183.00,1142196526,"UNITED AIRLINES, INC.",04/07/2021
1822882019,07/01/2021,09/30/2021,4010,RICHARD,,KLAWITER,2500.00,464438608,FULTON STREET CO.,11/08/2021
1822882019,07/01/2021,09/30/2021,4010,RICHARD,,KLAWITER,2500.00,3451065673,WASTE MANAGEMENT INC.,11/08/2021
3661477728,01/01/2021,03/31/2021,24309,MATTHEW,,DARST,99.89,413645007,CONDUENT INCORPORATED,04/07/2021
3327615297,01/01/2021,03/31/2021,24061,BRAD,,WATSON,110.00,584145407,VISTRA CORP.,04/07/2021
4146079618,01/01/2021,03/31/2021,3826,THOM,M,SERAFIN,1500.00,2178794716,MONDELEZ GLOBAL LLC,04/07/2021
1483619116,04/01/2021,06/30/2021,4010,RICHARD,,KLAWITER,2000.00,2505327057,THE JAFFE COMPANIES,11/08/2021
213563196,01/01/2021,03/31/2021,4010,RICHARD,,KLAWITER,1000.00,4077221674,SANGAMONROE LLC,11/08/2021
3969971138,01/01/2021,03/31/2021,6221,LARS,,SKUGSTAD,25000.00,2349450331,"INTERSTATE JCDECAUX, LLC",04/08/2021
1704053555,01/01/2021,03/31/2021,24725,STEPHANIE,,TOMBLIN,385.00,4029909298,JEFFERIES LLC,04/08/2021
1435712189,07/01/2021,09/30/2021,4010,RICHARD,,KLAWITER,2000.00,1084454338,1201 W. FULTON PARTNERS LLC,11/08/2021
1579788264,04/01/2021,06/30/2021,4010,RICHARD,,KLAWITER,1500.00,1787935822,KNICKPOINT REAL ESTATE LLC,11/08/2021
911707304,01/01/2021,03/31/2021,24308,KASIM,,DOGRUYOL,115.38,413645007,CONDUENT INCORPORATED,04/08/2021
1071668355,01/01/2021,03/31/2021,4312,TANYA,ME,TRICHE DAWOOD,35000.00,2760046042,ILLINOIS RETAIL MERCHANTS ASSOCIATION,04/09/2021
535773814,01/01/2021,03/31/2021,4301,DANIEL,J,LYNCH,778.00,1142196526,"UNITED AIRLINES, INC.",04/09/2021
1072845131,01/01/2020,03/31/2020,12721,JORDAN,,MATYAS,4000.00,1489027208,CHICAGO VOICE AND DATA AUTHORITY,12/10/2020
2335902936,07/01/2020,09/30/2020,16501,REYAHD,,KAZMI,5000.00,3143683800,PROXIMA MANAGEMENT,12/10/2020
3061938124,01/01/2020,03/31/2020,4003,SCOTT,E,SAEF,436.00,2211865845,COMMUTER RAIL DIVISION OF THE RTA (METRA),12/10/2020
441549297,04/01/2021,06/30/2021,4010,RICHARD,,KLAWITER,2500.00,1640543200,BRIDGFORD FOODS,11/08/2021
2972445854,01/01/2020,03/31/2020,12721,JORDAN,,MATYAS,500.00,1815455515,FREE FROM HARM,12/10/2020
2569117199,01/01/2021,03/31/2021,13621,ARTHUR,,WILHELMI,5000.00,1188783448,ILLINOIS HOSPITAL ASSOCIATION,04/09/2021
4041089023,01/01/2020,03/31/2020,16501,REYAHD,,KAZMI,3000.00,3744399402,"MONTERREY SECURITY CONSULTANTS, INC.",12/10/2020
2569117199,01/01/2021,03/31/2021,4010,RICHARD,,KLAWITER,5000.00,3060330233,SERITAGE GROWTH PROPERTIES,11/08/2021
305896644,01/01/2020,03/31/2020,12721,JORDAN,,MATYAS,6000.00,2939591381,"CATALYST CONSULTING GROUP, INC.",12/10/2020
213563196,01/01/2021,03/31/2021,23942,M GARRETT,,HOHIMER,1000.00,3473684911,ALIGHT SOLUTIONS LLC,04/09/2021
620259413,01/01/2021,03/31/2021,9383,ROB,,KARR,40000.00,2304917783,ILLINOIS RETAIL MERCHANTS ASSOCIATION,04/09/2021
4237428886,04/01/2020,06/30/2020,16501,REYAHD,,KAZMI,2500.00,2534105617,"AGPD PAVING, LLC DBA CARDI ASPHALT",12/10/2020
858374756,01/01/2021,03/31/2021,24918,JOSEPH,,JAKUBOWSKI,392.00,1142196526,"UNITED AIRLINES, INC.",04/09/2021
4287835748,01/01/2020,03/31/2020,12721,JORDAN,,MATYAS,1000.00,3441035479,YESHIVA GEDOLA OF THE MIDWEST,12/10/2020
1435712189,07/01/2021,09/30/2021,4010,RICHARD,,KLAWITER,2000.00,2505327057,THE JAFFE COMPANIES,11/08/2021
378238141,07/01/2021,09/30/2021,4010,RICHARD,,KLAWITER,5000.00,609440804,THE ONNI GROUP,11/08/2021
1475624767,10/01/2021,12/31/2021,24073,SAMANTHA,,STINSON,3000.00,821821540,THE WOODLAWEN GROUP,02/21/2022
488548203,04/01/2020,06/30/2020,16501,REYAHD,,KAZMI,5000.00,3744399402,"MONTERREY SECURITY CONSULTANTS, INC.",12/10/2020
2335902936,07/01/2020,09/30/2020,16501,REYAHD,,KAZMI,5000.00,3744399402,"MONTERREY SECURITY CONSULTANTS, INC.",12/10/2020
530208416,01/01/2020,03/31/2020,4003,SCOTT,E,SAEF,13336.50,3155112451,THE BARACK OBAMA FOUNDATION,12/10/2020
2787849843,07/01/2021,09/30/2021,4010,RICHARD,,KLAWITER,1500.00,3146441767,TISHMAN SPEYER PROPERTIES,11/08/2021
2972445854,01/01/2020,03/31/2020,12721,JORDAN,,MATYAS,500.00,913408124,HUMANE SOCIETY OF THE UNITED STATES,12/10/2020
169462881,04/01/2020,06/30/2020,4003,SCOTT,E,SAEF,1479.00,3155112451,THE BARACK OBAMA FOUNDATION,12/10/2020
1483619116,04/01/2021,06/30/2021,4010,RICHARD,,KLAWITER,2000.00,1084454338,1201 W. FULTON PARTNERS LLC,11/08/2021
1435712189,07/01/2021,09/30/2021,4010,RICHARD,,KLAWITER,2000.00,3673027719,"STERLING BAY, LLC AND ITS AFFILIATES",11/08/2021
441549297,04/01/2021,06/30/2021,4010,RICHARD,,KLAWITER,2500.00,3445064077,FERN HILL,11/08/2021
1589466760,01/01/2021,03/31/2021,4010,RICHARD,,KLAWITER,2000.00,1556749614,"CLAYCO, INC.",11/08/2021
441549297,04/01/2021,06/30/2021,4010,RICHARD,,KLAWITER,2500.00,3459653231,"ANDY'S FROZEN CUSTARD, INC.",11/08/2021
2787849843,07/01/2021,09/30/2021,4010,RICHARD,,KLAWITER,1500.00,1641152195,DEPAUL COLLEGE PREP,11/08/2021
460429841,07/01/2020,09/30/2020,4003,SCOTT,E,SAEF,109.00,2211865845,COMMUTER RAIL DIVISION OF THE RTA (METRA),12/10/2020
1822882019,07/01/2021,09/30/2021,4010,RICHARD,,KLAWITER,2500.00,3445064077,FERN HILL,11/08/2021
330289866,04/01/2021,06/30/2021,4010,RICHARD,,KLAWITER,5000.00,176248196,TRAMMELL CROW COMPANY,11/08/2021
1653253458,07/01/2021,09/30/2021,4010,RICHARD,,KLAWITER,1000.00,4077221674,SANGAMONROE LLC,11/08/2021
672731099,01/01/2021,03/31/2021,4010,RICHARD,,KLAWITER,2500.00,2191182081,"LANDMARK DEVELOPMENT SERVICE COMPANY, LLC",11/08/2021
672731099,01/01/2021,03/31/2021,4010,RICHARD,,KLAWITER,2500.00,142699114,DRAPER AND KRAMER,11/08/2021
330289866,04/01/2021,06/30/2021,4010,RICHARD,,KLAWITER,5000.00,430581004,BLUE STAR PROPERTIES,11/08/2021
378238141,07/01/2021,09/30/2021,4010,RICHARD,,KLAWITER,5000.00,176248196,TRAMMELL CROW COMPANY,11/08/2021
1822882019,07/01/2021,09/30/2021,4010,RICHARD,,KLAWITER,2500.00,3253331131,FRED EYCHANER (NEWSWEB),11/08/2021
4146079618,01/01/2021,03/31/2021,4010,RICHARD,,KLAWITER,1500.00,2912587071,GOLUB & CO.,11/08/2021
330289866,04/01/2021,06/30/2021,4010,RICHARD,,KLAWITER,5000.00,3451065673,WASTE MANAGEMENT INC.,11/08/2021
441549297,04/01/2021,06/30/2021,4010,RICHARD,,KLAWITER,2500.00,3253331131,FRED EYCHANER (NEWSWEB),11/08/2021
1822882019,07/01/2021,09/30/2021,4010,RICHARD,,KLAWITER,2500.00,3499549763,"PROLOGIS, INC.",11/08/2021
1822882019,07/01/2021,09/30/2021,4010,RICHARD,,KLAWITER,2500.00,3459653231,"ANDY'S FROZEN CUSTARD, INC.",11/08/2021
378238141,07/01/2021,09/30/2021,4010,RICHARD,,KLAWITER,5000.00,1943780836,NORTHPOINT DEVELOPMENT,11/08/2021
1589466760,01/01/2021,03/31/2021,4010,RICHARD,,KLAWITER,2000.00,2505327057,THE JAFFE COMPANIES,11/08/2021
1435712189,07/01/2021,09/30/2021,4010,RICHARD,,KLAWITER,2000.00,278811004,R2 COMPANIES,11/08/2021
1822882019,07/01/2021,09/30/2021,4010,RICHARD,,KLAWITER,2500.00,4224658820,HUBBARD STREET GROUP,11/08/2021
1435712189,07/01/2021,09/30/2021,4010,RICHARD,,KLAWITER,2000.00,1556749614,"CLAYCO, INC.",11/08/2021
1579788264,04/01/2021,06/30/2021,4010,RICHARD,,KLAWITER,1500.00,2912587071,GOLUB & CO.,11/08/2021
441549297,04/01/2021,06/30/2021,4010,RICHARD,,KLAWITER,2500.00,2167854321,MARK GOODMAN AND ASSOCIATES,11/08/2021
4146079618,01/01/2021,03/31/2021,4010,RICHARD,,KLAWITER,1500.00,1787935822,KNICKPOINT REAL ESTATE LLC,11/08/2021
1579788264,04/01/2021,06/30/2021,4010,RICHARD,,KLAWITER,1500.00,508109354,LFI REAL ESTATE,11/08/2021
2569117199,01/01/2021,03/31/2021,4010,RICHARD,,KLAWITER,5000.00,1065982169,RELATED MIDWEST,11/08/2021
441549297,04/01/2021,06/30/2021,4010,RICHARD,,KLAWITER,2500.00,1186401762,EXPERIENTIAL CAPITAL GROUP,11/08/2021
213563196,01/01/2021,03/31/2021,4010,RICHARD,,KLAWITER,1000.00,3249117456,CEDAR STREET CAPITAL PARTNERS LLC,11/08/2021
